Step Number,Vehicle ID,Vehicle Type,X Coordinate,Y Coordinate,Speed
0,0,DEFAULT_VEHTYPE,1492.411,834.671,0.000
1,0,DEFAULT_VEHTYPE,1492.406,838.793,2.600
1,1,DEFAULT_VEHTYPE,959.246,1464.978,0.000
2,0,DEFAULT_VEHTYPE,1496.435,842.078,5.200
2,1,DEFAULT_VEHTYPE,959.947,1462.708,2.375
2,2,DEFAULT_VEHTYPE,733.093,662.534,0.000
3,0,DEFAULT_VEHTYPE,1502.478,847.005,7.800
3,1,DEFAULT_VEHTYPE,960.083,1458.501,4.266
3,2,DEFAULT_VEHTYPE,734.707,664.003,2.182
3,3,DEFAULT_VEHTYPE,720.450,725.170,0.000
4,0,DEFAULT_VEHTYPE,1509.677,852.877,9.295
4,1,DEFAULT_VEHTYPE,959.660,1452.178,6.338
4,2,DEFAULT_VEHTYPE,738.126,667.116,4.622
4,3,DEFAULT_VEHTYPE,719.133,723.955,1.789
4,4,DEFAULT_VEHTYPE,1560.620,1082.333,0.000
5,0,DEFAULT_VEHTYPE,1516.490,858.440,8.785
5,1,DEFAULT_VEHTYPE,959.131,1444.267,7.929
5,2,DEFAULT_VEHTYPE,743.153,671.692,6.797
5,3,DEFAULT_VEHTYPE,716.205,721.242,3.995
5,4,DEFAULT_VEHTYPE,1558.704,1082.885,1.993
5,5,DEFAULT_VEHTYPE,280.030,372.880,0.000
6,0,DEFAULT_VEHTYPE,1520.728,864.646,7.738
6,1,DEFAULT_VEHTYPE,958.484,1434.592,9.697
6,2,DEFAULT_VEHTYPE,749.212,677.211,8.192
6,3,DEFAULT_VEHTYPE,711.890,717.259,5.875
6,4,DEFAULT_VEHTYPE,1555.411,1083.835,3.428
6,5,DEFAULT_VEHTYPE,278.653,372.872,1.378
6,6,DEFAULT_VEHTYPE,2065.830,452.830,0.000
7,0,DEFAULT_VEHTYPE,1517.205,871.201,7.738
7,1,DEFAULT_VEHTYPE,957.742,1423.500,11.117
7,2,DEFAULT_VEHTYPE,756.384,683.750,9.706
7,3,DEFAULT_VEHTYPE,706.282,712.073,7.638
7,4,DEFAULT_VEHTYPE,1549.782,1085.458,5.859
7,5,DEFAULT_VEHTYPE,274.756,372.850,3.896
7,6,DEFAULT_VEHTYPE,2066.285,451.193,1.725
7,7,DEFAULT_VEHTYPE,1502.787,1008.822,0.000
8,0,DEFAULT_VEHTYPE,1511.158,878.261,9.295
8,1,DEFAULT_VEHTYPE,956.294,1411.459,12.139
8,2,DEFAULT_VEHTYPE,764.728,691.346,11.286
8,3,DEFAULT_VEHTYPE,698.855,705.205,10.115
8,4,DEFAULT_VEHTYPE,1542.226,1087.636,7.863
8,5,DEFAULT_VEHTYPE,268.521,373.068,6.245
