Edge ID <> Lane ID,Source,Destination,Length,Speed Limit,Road Type
-E0 <> -E0_0,AX10,BA0,2688.07,27.78,highway
-E0 <> -E0_1,AX10,BA0,2688.07,27.78,highway
-E0 <> -E0_2,AX10,BA0,2688.07,27.78,highway
-E1 <> -E1_0,AN10,AK0,2600.82,27.78,highway
-E1 <> -E1_1,AN10,AK0,2600.82,27.78,highway
-E1 <> -E1_2,AN10,AK0,2600.82,27.78,highway
-E2 <> -E2_0,J0,AK5,3927.63,27.78,highway
-E2 <> -E2_1,J0,AK5,3927.63,27.78,highway
-E2 <> -E2_2,J0,AK5,3927.63,27.78,highway
-E3 <> -E3_0,BA5,J0,4024.42,27.78,highway
-E3 <> -E3_1,BA5,J0,4024.42,27.78,highway
-E3 <> -E3_2,BA5,J0,4024.42,27.78,highway
-E4 <> -E4_0,AS10,J0,3727.83,27.78,highway
-E4 <> -E4_1,AS10,J0,3727.83,27.78,highway
-E4 <> -E4_2,AS10,J0,3727.83,27.78,highway
-E5 <> -E5_0,AX5,BF0,6331.85,27.78,highway
-E5 <> -E5_1,AX5,BF0,6331.85,27.78,highway
-E5 <> -E5_2,AX5,BF0,6331.85,27.78,highway
-E6 <> -E6_0,AF0,AN5,6243.88,27.78,highway
-E6 <> -E6_1,AF0,AN5,6243.88,27.78,highway
-E6 <> -E6_2,AF0,AN5,6243.88,27.78,highway
AA0AA1 <> AA0AA1_0,AA0,AA1,486.4,22.22,local road
AA0AA1 <> AA0AA1_1,AA0,AA1,486.4,22.22,local road
AA0AB0 <> AA0AB0_0,AA0,AB0,486.4,22.22,local road
AA0AB0 <> AA0AB0_1,AA0,AB0,486.4,22.22,local road
AA10AA9 <> AA10AA9_0,AA10,AA9,486.4,22.22,local road
AA10AA9 <> AA10AA9_1,AA10,AA9,486.4,22.22,local road
AA10AB10 <> AA10AB10_0,AA10,AB10,486.4,22.22,local road
AA10AB10 <> AA10AB10_1,AA10,AB10,486.4,22.22,local road
AA1AA0 <> AA1AA0_0,AA1,AA0,486.4,22.22,local road
AA1AA0 <> AA1AA0_1,AA1,AA0,486.4,22.22,local road
AA1AA2 <> AA1AA2_0,AA1,AA2,485.6,22.22,local road
AA1AA2 <> AA1AA2_1,AA1,AA2,485.6,22.22,local road
AA1AB1 <> AA1AB1_0,AA1,AB1,482.4,13.89,local road
AA2AA1 <> AA2AA1_0,AA2,AA1,485.6,22.22,local road
AA2AA1 <> AA2AA1_1,AA2,AA1,485.6,22.22,local road
AA2AA3 <> AA2AA3_0,AA2,AA3,485.6,22.22,local road
AA2AA3 <> AA2AA3_1,AA2,AA3,485.6,22.22,local road
AA2AB2 <> AA2AB2_0,AA2,AB2,482.4,13.89,local road
AA3AA2 <> AA3AA2_0,AA3,AA2,485.6,22.22,local road
